Species,TaxID,Temperature
Absidia glauca,4829,37
Agaricus bisporus,5341,34
Agaricus bitorquis,5343,36
Agaricus blazei,79798,35
Albugo candida,65357,25
Allomyces macrogynus,28583,40
Alternaria alternata,5599,40
Alternaria arborescens,156630,34
Alternaria brassicae,29911,43
Alternaria brassicicola,29001,40
Alternaria gaisen,167740,40
Alternaria longipes,160389,34.5
Alternaria porri,48098,36
Alternaria radicina,119925,36.3
Alternaria solani,48100,42
Alternaria tomato,1187947,34.15
Amanita muscaria,41956,30
Amanita pseudoporphyria,67725,32
Amanita rubescens,71933,35
Amorphotheca resinae,5101,41
Amylocarpus encephaloides,45428,28
Annulohypoxylon annulatum,327058,35
Aphanomyces euteiches,100861,37
Apophysomyces elegans,90269,48
Apophysomyces ossiformis,679940,48
Apophysomyces trapeziformis,679948,48
Apophysomyces variabilis,760013,48
Armillaria mellea,47429,30
Armillaria ostoyae,47428,32
Artomyces pyxidatus,48021,30
Ascosphaera apis,5105,45
Aspergillus alliaceus,209559,40
Aspergillus amstelodami,5054,40
Aspergillus  caespitosus,176165,48
Aspergillus calidoustus,454130,40
Aspergillus campestris,41068,35
Aspergillus candidus,41067,30
Aspergillus carbonarius,40993,40
Aspergillus chevalieri,182096,42
Aspergillus coremiiformis,138285,30
Aspergillus elegans,93033,40
Aspergillus felis,1287682,47
Aspergillus flavipes,41900,37.5
Aspergillus  fumigatiaffinis,340414,45
Aspergillus fumigatus,746128,48
Aspergillus glaucus,41413,40
Aspergillus insuetus,469274,40
Aspergillus japonicus,34381,40
Aspergillus neotritici,2932460,40
Aspergillus nidulans,162425,44
Aspergillus niger,5061,47
Aspergillus ochraceus,40380,47
Aspergillus sclerotioniger ,319627,39
Aspergillus subalbidus,1507546,37
Aspergillus taichungensis,482145,40
Aspergillus terreus,33178,48
Aspergillus tubingensis ,5068,39
Aspergillus udagawae,91492,42
Aspergillus varians,176181,35
Aspergillus wentii,5066,37
Atkinsonella texensis,51582,34
Aureobasidium mangrovei,2895399,35
Aureobasidium melanogenum,46634,37
Aureobasidium pullulans,5580,42
Aureobasidium subglaciale ,1042127,30
Auricularia auricula-judae,29892,40
Auricularia subglabra,1331295,36
Beauveria bassiana,176275,34
Beauveria brongniartii,118266,35
Berkeleyomyces basicola,124036,36
Bipolaris oryzae,101162,41
Bipolaris sorokiniana,45130,39
Bipolaris zeicola,5017,35
Biscogniauxia marginata,110534,35
Bjerkandera adusta,5331,35
Blastomyces emzantsi,2723674,37
Blastomyces silverae,2060906,34
Blumeria graminis,34373,25
Blumeriella jaapii,373115,28
Boeremia exigua,749465,40
Boletus edulis,36056,32
Bondarzewia mesenterica,1095465,32
Botryosphaeria dothidea,55169,37
Botrytis cinerea,40559,39.5
Botrytis elliptica,278938,25
Botrytis fragariae,1964551,31
Cadophora malorum,108018,28
Calcarisporiella thermophila,911321,55
Candida albicans,5476,44
Candida gigantensis,271359,35
Candida maltosa,5479,42
Candida tropicalis,5482,42
Candida viswanathii,5486,37
Cantharellus cibarius,36066,30
Capronia coronata ,43229,33
Catenaria anguillulae,109876,37
Ceratocystis fimbriata,5158,35.25
Cercospora apii,132184,35
Cercospora beticola,122368,37.8
Cercospora zeae-maydis,135779,35
Chaetomium globosum,38033,39
Chaetomium olivicolor,1485946,48
Choanephora cucurbitarum,101091,35
Chondrostereum purpureum,58369,35
Cladophialophora bantiana,89940,45
Cladophialophora carrionii,86049,37
Cladophialophora immunda,569365,37
Cladophialophora psammophila,1182553,39
Cladophialophora yegresii,470704,35
Cladosporium cladosporioides,29917,32.5
Cladosporium cucumerinum,166633,35
Cladosporium halotolerans,1052096,33
Cladosporium phlei,1116209,35
Cladosporium sphaerospermum,92950,34
Cladosporium velox,891392,30
Claviceps purpurea ,5111,30
Clavispora lusitaniae,36911,46
Coccidioides immitis,5501,42
Coccidioides posadasii,199306,42
Bipolaris maydis,5016,43
Colletotrichum aenigma,1215731,36
Colletotrichum coccodes,27358,40
Colletotrichum dematium,34405,34
Colletotrichum falcatum,129314,37.5
Colletotrichum fioriniae ,710243,35
Colletotrichum fructicola ,690256,34
Colletotrichum gloeosporioides,474922,38
Colletotrichum godetiae,1209918,31
Colletotrichum graminicola,31870,37
Colletotrichum higginsianum,80884,35
Colletotrichum horii,717645,36.5
Colletotrichum lindemuthianum,290576,42
Colletotrichum liriopes,708192,42
Colletotrichum lupini,145971,30
Colletotrichum musae,5464,37.5
Colletotrichum nymphaeae,306554,32
Colletotrichum trifolii,5466,35
Coniella diplodiella,332405,39.5
Coniophora puteana,80637,40
Coniosporium apollinis,61459,29
Coprinellus micaceus,71717,37
Coprinus comatus,56187,32
Cordyceps fumosorosea,114497,32
Cordyceps militaris,73501,32
Corynascus sepedonium,190048,46
Corynespora cassiicola ,59586,38
Cronartium quercuum,60197,37
Cronartium ribicola,27354,26.7
Cryomyces antarcticus,329879,27
Cryomyces minteri,331657,28
Cryphonectria parasitica,5116,38.75
Cryptococcus neoformans,5207,39
Curvularia clavata,95742,38
Curvularia kusanoi,90978,35
Curvularia lunata,5503,35
Curvularia trifolii,112171,40
Cyniclomyces guttulatus,54199,45
Cystobasidium ongulense,1930695,30
Cystobasidium tubakii,1930696,25
Cytospora chrysosperma,252740,35
Cytospora leucostoma,1230097,40
Daldinia eschscholtzii,292717,42
Debaryomyces hansenii,4959,38
Brettanomyces bruxellensis,5007,31
Diaporthe citri,83186,40
Diaporthe destruens,748119,40.25
Dichomitus squalens,114155,42
Didymella pinodella,749633,35
Didymella pinodes,749589,35
Diplodia mutila,85927,32
Dothiorella sarmentorum,240345,30
Dothistroma septosporum,64363,33
Earliella scabrosa,2478900,30
Elsinoe fawcettii,40997,36
Emergomyces africanus,1955775,38
Emergomyces orientalis,1972497,36
Emergomyces pasteurianus,1955774,40
Aspergillus sydowii,75750,40
Epichloe typhina,5113,33
Epicoccum nigrum,105696,30
Epicoccum sorghinum,749593,38
Eremothecium coryli,33173,40
Eremothecium gossypii,33169,40
Erysiphe necator,52586,37.8
Eutypa lata,97096,30
Exidia glandulosa,5219,35
Exophiala alcalophila,91920,38
Exophiala aquamarina,1033840,36
Exophiala dermatitidis,5970,42
Exophiala spinifera,91928,38
Exophiala viscosa,2486360,28
Exserohilum turcicum,93612,35
Flammulina velutipes,38945,40
Fomes fomentarius,40442,38
Fomitiporia mediterranea,208960,33
Fomitopsis pinicola,40483,38
Fonsecaea multimorphosa ,979981,39
Friedmanniomyces endolithicus,329885,25
Friedmanniomyces simplex,329884,24
Fulvia fulva,5499,35
Fusarium acuminatum,5515,37.5
Fusarium anguioides,183586,33
Fusarium anthophilum,48485,37.5
Fusarium avenaceum,40199,38
Fusarium beomiforme,44412,40
Fusarium camptoceras,57143,35.75
Fusarium chlamydosporum,86545,37.5
Fusarium circinatum,48490,30
Fusarium culmorum,5516,38
Fusarium equiseti,61235,37.5
Fusarium flocciferum,56642,35.75
Fusarium graminearum,5518,39
Fusarium graminum,86546,37.5
Fusarium heterosporum,42747,37.5
Fusarium incarnatum,298378,45
Fusarium langsethiae,179993,35
Fusarium lateritium,5523,35.75
Fusarium longipes,694270,37.5
Fusarium oligoseptatum,2604345,35
Fusarium oxysporum,5507,40
Fusarium phyllophilum,47803,35
Fusarium poae,36050,37
Fusarium proliferatum,948311,32
Fusarium pseudograminearum,101028,30
Fusarium redolens,48865,37.5
Fusarium solani,169388,39
Fusarium sporotrichioides,5514,34
Fusarium tricinctum,61284,38
Gaeumannomyces graminis,29850,35
Ganoderma lucidum,5315,46
Ganoderma sinense,36075,37
Geotrichum candidum,1173061,38
Glaciozyma Antarctica,105987,15
Glaciozyma martinii,1074868,20
Globisporangium debaryanum,231958,37.5
Globisporangium splendens,82926,37.5
Globisporangium ultimum,2052682,41.8
Gloeophyllum trabeum,104355,48
Colletotrichum orbiculare,5465,34.5
Gloeostereum incarnatum,98760,30
Goffeauzyma gilvescens,104405,28
Grifola frondosa,5627,32
Gymnopilus junonius,109634,30
Hanseniaspora uvarum,29833,40
Schizosaccharomyces japonicus,4897,40
Helminthosporium solani,58128,30
Hemileia vastatrix,203904,28
Hericium coralloides,100756,37
Hericium erinaceus,91752,36
Heterobasidion annosum,13563,44
Hirsutella minnesotensis,332947,20
Hirsutella rhossiliensis,111463,36
Hirsutella thompsonii,42368,38
Histoplasma capsulatum,5037,33
Hortaea werneckii,91943,35
Humicola hyalothermophila,1486343,52
Hygrophorus russula,264141,31
Hymenoscyphus fraxineus,746836,30
Hypholoma fasciculare,72129,31
Hypholoma lateritium,2082196,27
Hyphopichia burtonii,717740,37
Hypsizygus marmoreus,39966,39
Ilyonectria mors-panacis,1079131,28
Ilyonectria robusta,1079257,28
Incumbomyces delicatus,2752694,32
Incumbomyces lentus,2752695,32
Arxiozyma telluris,36907,45
Kluyveromyces lactis,28985,37
Kodamaea laetipori,271274,35
Komagataella pastoris,4922,34
Lachancea meyersii,300276,35
Lachancea thermotolerans,381046,49
Lactarius controversus,116075,31
Lactarius deliciosus,55514,34
Laetiporus sulphureus,5630,40
Lasiodiplodia theobromae,45133,38.5
Lentinula edodes,5353,32
Lentinus tigrinus ,5365,43
Leucosporidium scottii,5278,30
Leucosporidium yakuticum,231218,22
Lichtheimia corymbifera,42458,51
Lichtheimia hyalospora,420593,41
Lichtheimia ornata,688661,48
Lipomyces starkeyi,29829,31
Macrolepiota dolichaula,190371,34
Macrophomina phaseolina ,35725,42
Madurella fahalii,1157608,41
Madurella mycetomatis ,100816,40
Malassezia globosa,76773,39
Malassezia pachydermatis,77020,41
Malassezia restricta,76775,33
Malassezia vespertilionis,2020962,37
Malbranchea cinnamomea,5041,57
Melampsora lini,5261,30
Metarhizium acridum,92637,38
Metarhizium anisopliae,5530,35
Metarhizium brunneum,500148,33
Metarhizium majus ,1650735,37
Metarhizium robertsii,568076,42
Metschnikowia bicuspidata ,27322,30
Metschnikowia chrysoperlae,261276,40
Metschnikowia corniflorae,280591,35
Metschnikowia dekortorum,174643,35
Metschnikowia gruessii,45517,30
Metschnikowia kunwiensis,279289,35
Metschnikowia pulcherrima,27326,30
Metschnikowia similis,473037,35
Meyerozyma guilliermondii,4929,47
Microdochium bolleyi,196109,34
Microdochium nivale,5520,32
Microsporum canis,63405,38
Millerozyma farinosa,4920,53
Moelleriella libera ,324773,31
Monascus purpureus,5098,46
Monascus ruber,89489,44
Monilinia fructicola,38448,33
Monilinia fructigena,38457,35
